Artikelnummer,Produktname,Preis_1,Preis_2,Ab_Menge_2,Preis_3,Ab_Menge_3,Preis_4,Ab_Menge_4
9153,Südwesterhut,6.12,5.57,,5.17,,4.79,
8102,Beerenfruchtkorb,6.35,4.48,,4.34,,3.97,
8724-H,"Spargelbehälter 60 x 40 x 23 cm, schwarz",6.85,6.49,,6.03,,5.56,
8725-G,"Kunststoffbehälter 13 cm hoch, grün, Boden durchbr",6.88,5.9,,5.43,,4.82,
8725-GR,"Kunststoffbehälter 13 cm hoch, grau, Boden durchbr",6.88,5.9,,5.43,,4.82,
1119,Spankorbummantelung für Drehstapelbehälter,7.84,7.44,,7.05,,6.38,
8307,"Kunststoffbehälter ""Robusto"" 20 L",8.21,7.73,,7.13,,6.88,
5117,Arbeitsmesser,8.33,7.17,,6.13,,,
1109,Spankorbummantelung für Drehstapelbehälter,8.49,7.05,,,,,
5062,Blumenkohlmesser mit Wellenschliff,8.49,7.44,,6.77,,,
8220,"Direkt-Wässer-Box, Maße 60 x 40 x 22,5",8.59,8.28,,7.97,,,
8212-G,"Feldkiste geschlossen, Farbe grün",8.77,7.42,,7.31,,7.2,
1106,"Spankorbummantelung für 50 x 30 x 20 cm Kiste ""Spa",8.9,7.44,,,,,
1107,"Spankorbummantelung für Drehstapelbehälter ""Sparge",9.16,7.72,,,,,
8719-GR,Kunststoffbehälter 17 cm hoch grau komplett geschl,9.54,8.81,,8.33,,7.85,
87191-GR,Kunststoffbehälter 17 cm hoch grau komplett geschl,9.54,8.81,,8.33,,7.85,
5167,"Feldsalatmesser, einseitig geschliffen",9.55,9.24,,8.72,,8.1,
5119,Arbeitsmesser,9.56,8.49,,7.89,,,
8720-GR,Kunststoffbehälter 22 cm hoch grau komplett geschl,10.39,9.54,,8.94,,8.44,
8721-GR,Kunststoffbehälter 27 cm hoch grau komplett geschl,10.82,10.39,,10.03,,9.6,
5121,Arbeitsmesser,11.69,10.77,,10.24,,,
8710,Grünspargeleimer,11.8,10.05,,10.34,,9.74,
8203,Alu Einklemmgriff für Kiste 50x30cm,11.91,10.28,,9.65,,9.02,
8308,"Kunststoffbehälter ""Robusto"" 64 L",12.44,11.84,,9.91,,9.54,
5123,Arbeitsmesser,13.68,12.61,,11.83,,,
4064,Import-Schwalbenschwanzstechmesser ähnlich wie Art,13.92,12.77,,12.13,,11.73,
1434,Werbebanner 150 x 50 cm,14.99,14.44,,13.32,,12.22,
8703,"Aluminiumtragegriff für Art. 8700, 8702, 8708, 870",15.1,12.7,,12.05,,11.65,
8701,"Tragegriff für Art. 8700, 8702, 8708, 8709, 8796, ",15.35,14.13,,13.52,,13.17,
8722-GR,Kunststoffbehälter 32 cm hoch grau  komplett gesch,15.57,13.89,,13.17,,12.69,
1274-SH,"Hemdchentragetasche ""Frischer Spargel""",17.99,14.38,,13.65,,12.93,
8338-SH,"Hemdchentragetasche Erdbeeren ""Frisch vom Feld""",17.99,14.38,,13.65,,12.93,
1276,"Glättekelle, breit, mit 9-fach Bolzenverschweißung",18.81,17.38,,16.1,,14.36,
1574,Trapezkelle aus Speziallegierung,19.77,19.12,,18.18,,17.38,
8411-SH,Papiertragetasche mit Kordel,20.54,18.47,,15.38,,,
8412-SH,Hemdchentragetasche BIO PE,20.54,18.47,,14.45,,,
8360-SH,"Hemdchentragetaschen, transparent, gelocht",22.19,21.57,,19.81,,18.47,
7031-HSP,"Handschuhspanner, blau",22.95,21.14,,19.21,,17.14,
4020,Schwalbenschwanzstechmesser mit rotem Kunststoffgr,24.57,22.45,,21.11,,,
8166,Heidelbeererntekarre,24.63,23.72,,21.9,,20.07,
7828,"Feldsalatmesser, handgeschmiedet",24.85,22.72,,21.25,,,
7829,"Feldsalatmesser, wie 7828 für Linkshänder",24.85,22.72,,21.25,,,
8320-SH,Hemdchentragetasche,24.97,20.43,,18.37,,17.34,
4092,Schwalbenschwanzstechmesser mit Krückstockgriff,25.11,23.25,,21.79,,21.11,
5166-L,"Feldsalatmesser, einseitig geschliffen links",27.11,25.27,,23.57,,22.18,
4026,Schwalbenschwanzstechmesser ergonomischer schwarze,29.37,28.69,,27.77,,26.89,
1216-SH,"Beeren-Obstschale 500g Wellpappe ""Beerenhunger""",29.89,28.82,,28.25,,,
8336-SH,Hemdchentragetasche Apfel & Birne,30.86,30.44,,29.1,,28.48,
1311-SH,Beerenobstschalen 1.000 g Holzschliff,31.58,30.27,,28.16,,26.81,
3788,Taschenöffner für Spargelfolien,31.89,25.25,,22.85,,,
4068,Damast Anschweiß Messerspitzen gerade,31.89,27.91,,27.1,,26.44,
4094,"Schwalbenschwanzstechmesser, extra lang",31.89,29.89,,29.09,,26.44,
1322-SH,Beerenobstschalen 400 g Holzschliff,32.15,30.82,,29.47,,26.79,
1313-FSH,Beerenobstschalen 500 g Holzschliff OMNI,32.98,30.34,,28.49,,26.79,
1313-OSH,Beerenobstschalen 500 g Holzschliff OMNI,32.98,30.34,,28.49,,26.79,
8305-GR,"Transportroller für  60 x 40 cm Behälter, grau",33.02,31.99,,29.93,,,
1330-SH,Holzschliffschale 500g Digitaldruck,33.19,30.71,,29.67,,28.34,
8370-SH,"Hemdchentragetaschen extrastark,  weiss",33.94,30.19,,27.5,,23.28,
8382-SH,"Papiertragetasche ""Spargel & Erdbeeren""",34.06,31.99,,28.79,,25.18,
8393-SH,"Papiertragetasche ""Verantwortung/Genuss""",34.06,31.99,,28.79,,25.18,
8394-SH,"Papiertragetasche  ""Erdbeeren""",34.06,31.99,,28.79,,25.18,
8409-SH,"Papiertragetasche ""Natürlich. Lecker.""",34.06,31.99,,28.79,,25.18,
8419-SH,Papiertragetasche Spargel & Erdbeere NEU,34.06,31.99,,28.79,,25.18,
8420-SH,Papiertragetasche Spargel & Erdbeere nachhaltig,34.06,31.99,,28.79,,25.18,
8421-SH,Papiertragetasche Kartoffeln Region,34.06,30.24,,28.79,,25.18,
8422-SH,Papiertragetasche Bauernhof Genuss-Garantie,34.06,31.99,,28.79,,25.18,
8423-SH,Papiertragetasche Kartoffel & Spargel,34.06,31.99,,28.79,,25.18,
8424-SH,Papiertragetasche Beerenstark,34.06,31.99,,28.79,,25.18,
